doa,lag_seconds,GoogleLat,GoogleLng,
7,0,33.55561,-86.88812,
7,0,31.42338,-88.02726,
7,329,31.46553,-87.33975,
7,145,32.45113,-86.73358,
7,70,34.8867,-87.79326,
7,0,31.41818,-85.56829,
7,35,32.1774,-85.81632,
7,0,33.4215,-85.31774,
0,51,30.70062,-88.12925,
7,0,31.15445,-85.17858,
7,43,32.09165,-85.7612,
0,47,34.46993,-87.43257,
0,36,34.57006,-87.06221,
0,10,34.54106,-87.37854,
7,0,32.33239,-86.23156,
7,60,32.71676,-86.23674,
7,0,32.42965,-87.77428,
7,40,32.76352,-86.56166,
7,0,30.74218,-87.7935,
7,12,32.65476,-86.92394,
7,0,34.80645,-87.07168,
7,56,31.40268,-87.34279,
0,41456,34.48293,-87.37202,
7,0,33.72262,-88.10219,
0,36,34.17007,-86.87497,
7,0,32.96162,-86.75803,
7,0,33.91066,-87.09028,
7,0,33.93942,-86.67933,
7,0,32.9625,-87.90211,
7,0,33.58626,-85.68305,
7,0,31.78069,-88.37811,
7,0,33.43129,-86.8241,
7,0,33.43129,-86.8241,
7,0,30.60396,-87.6559,
0,73,32.14292,-86.17666,
7,0,30.63865,-88.37888,
0,115,32.74112,-85.78773,
7,0,34.81153,-86.93149,
7,0,31.10102,-87.50871,
7,90,31.49704,-87.11747,
0,70,34.23248,-85.54602,
0,463,34.25666,-86.09617,
7,0,33.65996,-86.71808,
7,0,34.24215,-87.89324,
7,0,34.24215,-87.89324,
7,0,34.24215,-87.89324,
7,30,31.04282,-85.84478,
7,0,33.54637,-86.75048,
0,301,33.53133,-86.79719,
0,80,33.53133,-86.79719,
7,0,33.48048,-86.97001,
7,25,34.64744,-86.55705,
7,0,32.49904,-85.0564,
0,60,33.29783,-87.03566,
7,0,33.18713,-87.41955,
7,0,33.18713,-87.41955,
7,770,31.06864,-85.67921,
7,0,33.81214,-87.7765,
7,0,33.81214,-87.7765,
7,227,32.45557,-85.14642,
7,53,32.24126,-86.49507,
0,45,32.70211,-85.52625,
0,60,31.42048,-86.16155,
7,0,30.36294,-88.11497,
7,245,31.29079,-86.95301,
7,0,32.52775,-86.48359,
7,0,33.44841,-86.8802,
0,1536,34.1458,-85.98858,
7,0,33.6419,-85.51554,
7,120,33.01466,-86.71271,
0,141,31.15858,-85.18559,
7,0,31.06602,-85.40496,
7,0,33.69608,-86.52375,
7,10,34.96557,-86.56824,
7,45,34.02526,-86.4505,
7,0,33.9095,-87.44467,
7,35,34.85762,-87.05357,
0,72,33.18442,-87.34355,
0,117,32.53306,-85.47764,
7,20,34.41846,-87.57999,
7,5,30.37575,-88.23998,
7,265,32.51655,-86.43424,
0,46,34.87759,-86.56924,
7,0,34.72952,-86.85132,
7,0,32.07843,-87.73041,
0,55,34.07189,-87.97784,
0,60,33.34945,-87.61513,
0,225,33.55737,-85.87977,
0,850,34.84559,-87.58032,
0,33,33.93308,-87.73922,
7,0,33.93308,-87.73922,
7,0,60.52851,-150.86938,
7,0,64.09576,-145.63223,
7,25,61.57626,-149.65004,
7,0,61.72418,-148.83163,
7,0,61.5826,-149.63532,
7,0,61.72629,-150.03771,
7,0,61.01714,-149.73718,
7,0,61.28349,-149.61201,
7,0,61.28349,-149.61201,
7,0,61.28349,-149.61201,
7,0,61.28349,-149.61201,
0,61,61.54983,-149.81863,
7,8,60.73262,-151.29701,
8,136,32.30791,-109.89269,
0,710,32.30791,-109.89269,
7,0,33.45015,-112.81579,
7,0,33.45015,-112.81579,
0,2388,33.45866,-112.13446,
0,80,33.45866,-112.13446,
0,480,32.3292,-110.96127,
0,35,35.06091,-114.58931,
0,138,33.25849,-111.33695,
0,42,33.56802,-112.11782,
7,23,33.07405,-111.8172,
7,12,33.58916,-112.15145,
7,5,32.20668,-110.97751,
0,4810,33.43499,-112.0826,
0,25,33.64062,-112.02807,
